customer_id,frequency_count,monetary_total,avg_order_value,weekend_ratio,lunch_ratio,snacks_ratio,dinner_ratio,last_date,recency_days,avg_customer_age,dominant_gender,cluster_kmeans,cluster_dbscan,cluster_gmm,cluster_hierarchical,selected_model,cluster_label,frequency_count_feat,monetary_total_feat,avg_order_value_feat,weekend_ratio_feat,lunch_ratio_feat,snacks_ratio_feat,dinner_ratio_feat,last_date_feat,recency_days_feat,avg_customer_age_feat,dominant_gender_feat,anomaly_flag,anomaly_score
CUST1011,1,130,130.0,0.0,0.0,0.0,1.0,2024-04-08 14:38:00,82,37.0,M,1,1,1,1,KMeans,1,1,130,130.0,0.0,0.0,0.0,1.0,2024-04-08 14:38:00,82,37.0,M,0,0.12324462090130639
CUST1012,1,205,205.0,1.0,0.0,0.0,0.0,2024-04-21 10:29:00,69,21.0,F,3,-1,3,4,KMeans,3,1,205,205.0,1.0,0.0,0.0,0.0,2024-04-21 10:29:00,69,21.0,F,0,0.05973734763779048
CUST1013,1,108,108.0,1.0,0.0,0.0,1.0,2024-02-11 16:49:00,139,22.0,F,1,-1,1,1,KMeans,1,1,108,108.0,1.0,0.0,0.0,1.0,2024-02-11 16:49:00,139,22.0,F,0,0.037826479136736535
CUST1014,1,54,54.0,1.0,0.0,0.0,1.0,2024-03-02 08:15:00,119,29.0,F,1,-1,1,1,KMeans,1,1,54,54.0,1.0,0.0,0.0,1.0,2024-03-02 08:15:00,119,29.0,F,0,0.034726863922873275
CUST1015,1,85,85.0,0.0,0.0,0.0,1.0,2024-02-02 18:30:00,147,42.0,M,1,1,1,1,KMeans,1,1,85,85.0,0.0,0.0,0.0,1.0,2024-02-02 18:30:00,147,42.0,M,0,0.08788453331433932
CUST1016,1,85,85.0,0.0,0.0,1.0,0.0,2024-03-20 14:42:00,101,24.0,M,0,2,0,3,KMeans,0,1,85,85.0,0.0,0.0,1.0,0.0,2024-03-20 14:42:00,101,24.0,M,0,0.10906916707205283
CUST1017,1,280,280.0,0.0,0.0,0.0,0.0,2024-05-30 11:00:00,30,18.0,M,3,-1,3,2,KMeans,3,1,280,280.0,0.0,0.0,0.0,0.0,2024-05-30 11:00:00,30,18.0,M,0,0.028918565567167764
CUST1018,1,200,200.0,1.0,0.0,1.0,0.0,2024-02-24 16:08:00,126,26.0,F,4,-1,4,3,KMeans,4,1,200,200.0,1.0,0.0,1.0,0.0,2024-02-24 16:08:00,126,26.0,F,0,0.05333798151710689
CUST1019,1,70,70.0,0.0,0.0,1.0,0.0,2024-04-15 15:55:00,75,29.0,F,0,2,0,3,KMeans,0,1,70,70.0,0.0,0.0,1.0,0.0,2024-04-15 15:55:00,75,29.0,F,0,0.11558869170922298
CUST1020,1,52,52.0,0.0,1.0,0.0,0.0,2024-02-05 14:11:00,145,24.0,F,2,0,2,0,KMeans,2,1,52,52.0,0.0,1.0,0.0,0.0,2024-02-05 14:11:00,145,24.0,F,0,0.13396022726024553
CUST1021,1,100,100.0,0.0,1.0,0.0,0.0,2024-01-24 20:54:00,156,19.0,M,2,0,2,0,KMeans,2,1,100,100.0,0.0,1.0,0.0,0.0,2024-01-24 20:54:00,156,19.0,M,0,0.1154379759316862
CUST1022,1,160,160.0,0.0,0.0,0.0,1.0,2024-01-01 14:16:00,180,23.0,F,1,1,1,1,KMeans,1,1,160,160.0,0.0,0.0,0.0,1.0,2024-01-01 14:16:00,180,23.0,F,0,0.0605205617104595
CUST1023,1,221,221.0,1.0,0.0,1.0,0.0,2024-03-16 11:03:00,105,22.0,M,4,-1,4,3,KMeans,4,1,221,221.0,1.0,0.0,1.0,0.0,2024-03-16 11:03:00,105,22.0,M,0,0.0415530338497464
CUST1024,1,16,16.0,1.0,0.0,0.0,0.0,2024-02-17 09:38:00,133,19.0,M,2,-1,3,0,KMeans,2,1,16,16.0,1.0,0.0,0.0,0.0,2024-02-17 09:38:00,133,19.0,M,0,0.008350503734019132
CUST1025,1,230,230.0,0.0,0.0,1.0,0.0,2024-06-07 09:26:00,22,36.0,M,4,-1,0,2,KMeans,4,1,230,230.0,0.0,0.0,1.0,0.0,2024-06-07 09:26:00,22,36.0,M,0,0.06177242070001665
CUST1026,1,16,16.0,1.0,0.0,1.0,0.0,2024-04-27 13:59:00,63,22.0,F,0,-1,4,3,KMeans,0,1,16,16.0,1.0,0.0,1.0,0.0,2024-04-27 13:59:00,63,22.0,F,0,0.006516666422479278
CUST1027,1,90,90.0,0.0,0.0,0.0,1.0,2024-05-09 12:08:00,51,20.0,M,1,1,1,1,KMeans,1,1,90,90.0,0.0,0.0,0.0,1.0,2024-05-09 12:08:00,51,20.0,M,0,0.09540647393458213
CUST1028,1,231,231.0,0.0,1.0,0.0,0.0,2024-06-05 20:41:00,23,32.0,F,3,0,2,0,KMeans,3,1,231,231.0,0.0,1.0,0.0,0.0,2024-06-05 20:41:00,23,32.0,F,0,0.10638027231778974
CUST1029,1,176,176.0,1.0,1.0,0.0,0.0,2024-03-10 12:38:00,111,41.0,M,3,-1,2,4,KMeans,3,1,176,176.0,1.0,1.0,0.0,0.0,2024-03-10 12:38:00,111,41.0,M,0,0.08466250892496707
CUST1030,1,89,89.0,0.0,1.0,0.0,0.0,2024-03-11 08:00:00,110,20.0,F,2,0,2,0,KMeans,2,1,89,89.0,0.0,1.0,0.0,0.0,2024-03-11 08:00:00,110,20.0,F,0,0.1346746262320978
CUST1031,1,175,175.0,0.0,0.0,0.0,0.0,2024-05-23 08:07:00,37,35.0,F,2,3,3,0,KMeans,2,1,175,175.0,0.0,0.0,0.0,0.0,2024-05-23 08:07:00,37,35.0,F,0,0.11712315245951826
CUST1032,1,136,136.0,0.0,1.0,0.0,0.0,2024-04-01 11:43:00,89,29.0,M,2,0,2,0,KMeans,2,1,136,136.0,0.0,1.0,0.0,0.0,2024-04-01 11:43:00,89,29.0,M,0,0.16703527341098762
CUST1033,1,75,75.0,0.0,0.0,0.0,1.0,2024-03-01 10:51:00,120,37.0,M,1,1,1,1,KMeans,1,1,75,75.0,0.0,0.0,0.0,1.0,2024-03-01 10:51:00,120,37.0,M,0,0.10480615404952148
CUST1034,1,86,86.0,1.0,0.0,1.0,0.0,2024-03-09 10:50:00,112,43.0,M,0,-1,4,3,KMeans,0,1,86,86.0,1.0,0.0,1.0,0.0,2024-03-09 10:50:00,112,43.0,M,0,0.04642105813893571
CUST1035,1,370,370.0,0.0,0.0,1.0,0.0,2024-02-28 11:01:00,122,29.0,F,4,-1,0,2,KMeans,4,1,370,370.0,0.0,0.0,1.0,0.0,2024-02-28 11:01:00,122,29.0,F,0,0.0006978472235820155
CUST1036,1,92,92.0,1.0,0.0,0.0,1.0,2024-06-22 16:21:00,7,29.0,F,1,-1,1,1,KMeans,1,1,92,92.0,1.0,0.0,0.0,1.0,2024-06-22 16:21:00,7,29.0,F,0,0.041029492874667395
CUST1037,1,151,151.0,1.0,0.0,1.0,0.0,2024-06-01 14:22:00,28,19.0,M,4,-1,4,3,KMeans,4,1,151,151.0,1.0,0.0,1.0,0.0,2024-06-01 14:22:00,28,19.0,M,0,0.03772476336701458
CUST1038,1,270,270.0,1.0,0.0,0.0,1.0,2024-04-21 08:33:00,69,26.0,M,1,-1,1,1,KMeans,1,1,270,270.0,1.0,0.0,0.0,1.0,2024-04-21 08:33:00,69,26.0,M,1,-0.0004638831004478705
CUST1039,1,135,135.0,1.0,0.0,1.0,0.0,2024-03-17 16:19:00,104,39.0,M,0,-1,4,3,KMeans,0,1,135,135.0,1.0,0.0,1.0,0.0,2024-03-17 16:19:00,104,39.0,M,0,0.06470737182399988
CUST1040,1,116,116.0,0.0,1.0,0.0,0.0,2024-06-06 17:19:00,23,39.0,M,2,0,2,0,KMeans,2,1,116,116.0,0.0,1.0,0.0,0.0,2024-06-06 17:19:00,23,39.0,M,0,0.13736828352085312
CUST1041,1,165,165.0,0.0,0.0,1.0,0.0,2024-04-29 15:28:00,61,43.0,F,0,2,0,3,KMeans,0,1,165,165.0,0.0,0.0,1.0,0.0,2024-04-29 15:28:00,61,43.0,F,0,0.09964156976215399
CUST1042,1,15,15.0,0.0,0.0,0.0,1.0,2024-06-21 12:14:00,8,44.0,M,1,1,1,1,KMeans,1,1,15,15.0,0.0,0.0,0.0,1.0,2024-06-21 12:14:00,8,44.0,M,0,5.516573122310575e-06
CUST1043,1,15,15.0,0.0,0.0,1.0,0.0,2024-04-26 14:56:00,64,37.0,M,0,2,0,3,KMeans,0,1,15,15.0,0.0,0.0,1.0,0.0,2024-04-26 14:56:00,64,37.0,M,0,0.061157611485888164
CUST1044,1,170,170.0,1.0,1.0,0.0,0.0,2024-01-28 20:27:00,152,22.0,M,3,-1,2,4,KMeans,3,1,170,170.0,1.0,1.0,0.0,0.0,2024-01-28 20:27:00,152,22.0,M,0,0.08197422877155758
CUST1045,1,95,95.0,0.0,0.0,1.0,0.0,2024-06-19 16:35:00,10,43.0,F,0,2,0,3,KMeans,0,1,95,95.0,0.0,0.0,1.0,0.0,2024-06-19 16:35:00,10,43.0,F,0,0.07240221697557314
CUST1046,1,194,194.0,0.0,1.0,0.0,0.0,2024-04-25 12:48:00,65,41.0,F,3,0,2,0,KMeans,3,1,194,194.0,0.0,1.0,0.0,0.0,2024-04-25 12:48:00,65,41.0,F,0,0.1273054934364155
CUST1047,1,21,21.0,0.0,1.0,0.0,0.0,2024-03-26 13:57:00,95,25.0,F,2,0,2,0,KMeans,2,1,21,21.0,0.0,1.0,0.0,0.0,2024-03-26 13:57:00,95,25.0,F,0,0.09972701509648985
CUST1048,1,79,79.0,0.0,1.0,0.0,0.0,2024-01-17 14:26:00,164,40.0,M,2,0,2,0,KMeans,2,1,79,79.0,0.0,1.0,0.0,0.0,2024-01-17 14:26:00,164,40.0,M,0,0.134145980194883
CUST1049,1,147,147.0,0.0,1.0,0.0,0.0,2024-05-02 08:22:00,58,45.0,F,2,0,2,0,KMeans,2,1,147,147.0,0.0,1.0,0.0,0.0,2024-05-02 08:22:00,58,45.0,F,0,0.11439346481795687
CUST1050,1,200,200.0,0.0,0.0,0.0,1.0,2024-03-27 18:43:00,93,18.0,F,1,1,1,1,KMeans,1,1,200,200.0,0.0,0.0,0.0,1.0,2024-03-27 18:43:00,93,18.0,F,0,0.06250659739858644
CUST1051,1,184,184.0,1.0,0.0,0.0,0.0,2024-02-04 15:11:00,146,20.0,F,3,-1,3,4,KMeans,3,1,184,184.0,1.0,0.0,0.0,0.0,2024-02-04 15:11:00,146,20.0,F,0,0.05154893122854076
CUST1052,1,245,245.0,0.0,0.0,0.0,0.0,2024-03-05 09:30:00,116,26.0,F,3,-1,3,2,KMeans,3,1,245,245.0,0.0,0.0,0.0,0.0,2024-03-05 09:30:00,116,26.0,F,0,0.08590041709617291
CUST1053,1,113,113.0,1.0,1.0,0.0,0.0,2024-01-06 17:09:00,175,25.0,M,2,-1,2,4,KMeans,2,1,113,113.0,1.0,1.0,0.0,0.0,2024-01-06 17:09:00,175,25.0,M,0,0.05867356272474711
CUST1054,1,76,76.0,1.0,0.0,1.0,0.0,2024-02-11 12:06:00,139,23.0,M,0,-1,4,3,KMeans,0,1,76,76.0,1.0,0.0,1.0,0.0,2024-02-11 12:06:00,139,23.0,M,0,0.03837611548669584
CUST1055,1,215,215.0,0.0,1.0,0.0,0.0,2024-06-24 17:51:00,5,21.0,F,3,0,2,2,KMeans,3,1,215,215.0,0.0,1.0,0.0,0.0,2024-06-24 17:51:00,5,21.0,F,0,0.0905066455324639
CUST1056,1,119,119.0,1.0,0.0,0.0,1.0,2024-05-05 09:27:00,55,45.0,F,1,-1,1,1,KMeans,1,1,119,119.0,1.0,0.0,0.0,1.0,2024-05-05 09:27:00,55,45.0,F,0,0.03173841401609234
CUST1057,1,170,170.0,0.0,0.0,0.0,1.0,2024-05-31 12:20:00,29,32.0,F,1,-1,1,1,KMeans,1,1,170,170.0,0.0,0.0,0.0,1.0,2024-05-31 12:20:00,29,32.0,F,0,0.08448892084871207
CUST1058,1,125,125.0,1.0,1.0,0.0,0.0,2024-05-25 17:42:00,35,42.0,F,2,5,2,4,KMeans,2,1,125,125.0,1.0,1.0,0.0,0.0,2024-05-25 17:42:00,35,42.0,F,0,0.08007994082195413
CUST1059,1,193,193.0,1.0,1.0,0.0,0.0,2024-03-31 20:16:00,89,33.0,M,3,4,2,4,KMeans,3,1,193,193.0,1.0,1.0,0.0,0.0,2024-03-31 20:16:00,89,33.0,M,0,0.10027980459794889
CUST1060,1,52,52.0,0.0,1.0,0.0,0.0,2024-06-14 19:31:00,14,40.0,F,2,0,2,0,KMeans,2,1,52,52.0,0.0,1.0,0.0,0.0,2024-06-14 19:31:00,14,40.0,F,0,0.11001187839633386
CUST1061,1,284,284.0,0.0,1.0,0.0,0.0,2024-03-19 18:37:00,101,40.0,M,3,7,2,2,KMeans,3,1,284,284.0,0.0,1.0,0.0,0.0,2024-03-19 18:37:00,101,40.0,M,0,0.07175204162626381
CUST1062,1,90,90.0,0.0,0.0,1.0,0.0,2024-03-05 11:07:00,116,26.0,F,0,2,0,3,KMeans,0,1,90,90.0,0.0,0.0,1.0,0.0,2024-03-05 11:07:00,116,26.0,F,0,0.11665251041356012
CUST1063,1,116,116.0,0.0,1.0,0.0,0.0,2024-01-26 11:18:00,155,41.0,F,2,0,2,0,KMeans,2,1,116,116.0,0.0,1.0,0.0,0.0,2024-01-26 11:18:00,155,41.0,F,0,0.1414806196667751
CUST1064,1,59,59.0,1.0,0.0,1.0,0.0,2024-01-14 16:18:00,167,26.0,M,0,-1,4,3,KMeans,0,1,59,59.0,1.0,0.0,1.0,0.0,2024-01-14 16:18:00,167,26.0,M,0,0.025945580290420933
CUST1065,1,178,178.0,0.0,1.0,0.0,0.0,2024-04-30 15:28:00,60,36.0,F,2,0,2,0,KMeans,2,1,178,178.0,0.0,1.0,0.0,0.0,2024-04-30 15:28:00,60,36.0,F,0,0.14887558604051765
CUST1066,1,110,110.0,0.0,0.0,1.0,0.0,2024-04-12 15:04:00,78,21.0,M,0,2,0,3,KMeans,0,1,110,110.0,0.0,0.0,1.0,0.0,2024-04-12 15:04:00,78,21.0,M,0,0.10970149655329697
CUST1067,1,100,100.0,0.0,0.0,1.0,0.0,2024-06-04 17:50:00,25,21.0,F,0,2,0,3,KMeans,0,1,100,100.0,0.0,0.0,1.0,0.0,2024-06-04 17:50:00,25,21.0,F,0,0.09027504531878361
CUST1068,1,63,63.0,0.0,1.0,0.0,0.0,2024-02-23 18:13:00,126,37.0,M,2,0,2,0,KMeans,2,1,63,63.0,0.0,1.0,0.0,0.0,2024-02-23 18:13:00,126,37.0,M,0,0.1434791360326288
CUST1069,1,124,124.0,1.0,0.0,1.0,0.0,2024-04-14 15:44:00,76,23.0,M,0,-1,4,3,KMeans,0,1,124,124.0,1.0,0.0,1.0,0.0,2024-04-14 15:44:00,76,23.0,M,0,0.057077528135912714
CUST1070,1,180,180.0,0.0,0.0,1.0,0.0,2024-03-08 20:50:00,112,20.0,M,0,2,0,3,KMeans,0,1,180,180.0,0.0,0.0,1.0,0.0,2024-03-08 20:50:00,112,20.0,M,0,0.08896289085111508
CUST1071,1,180,180.0,0.0,0.0,1.0,0.0,2024-02-12 20:19:00,137,20.0,M,0,2,0,3,KMeans,0,1,180,180.0,0.0,0.0,1.0,0.0,2024-02-12 20:19:00,137,20.0,M,0,0.08146123321686471
CUST1072,1,185,185.0,0.0,0.0,0.0,0.0,2024-04-22 09:38:00,68,34.0,F,3,3,3,0,KMeans,3,1,185,185.0,0.0,0.0,0.0,0.0,2024-04-22 09:38:00,68,34.0,F,0,0.12085858822246742
CUST1073,1,130,130.0,0.0,0.0,1.0,0.0,2024-05-27 08:48:00,33,42.0,F,0,2,0,3,KMeans,0,1,130,130.0,0.0,0.0,1.0,0.0,2024-05-27 08:48:00,33,42.0,F,0,0.0990717691375892
CUST1074,1,94,94.0,0.0,1.0,0.0,0.0,2024-01-24 15:22:00,157,38.0,F,2,0,2,0,KMeans,2,1,94,94.0,0.0,1.0,0.0,0.0,2024-01-24 15:22:00,157,38.0,F,0,0.14560350672940692
CUST1075,1,230,230.0,0.0,0.0,0.0,0.0,2024-05-20 08:29:00,40,39.0,F,3,-1,3,0,KMeans,3,1,230,230.0,0.0,0.0,0.0,0.0,2024-05-20 08:29:00,40,39.0,F,0,0.07880562824650728
CUST1076,1,152,152.0,0.0,1.0,0.0,0.0,2024-04-15 08:12:00,75,39.0,F,2,0,2,0,KMeans,2,1,152,152.0,0.0,1.0,0.0,0.0,2024-04-15 08:12:00,75,39.0,F,0,0.15447902897198962
CUST1077,1,60,60.0,0.0,0.0,1.0,0.0,2024-02-01 08:40:00,149,40.0,F,0,2,0,3,KMeans,0,1,60,60.0,0.0,0.0,1.0,0.0,2024-02-01 08:40:00,149,40.0,F,0,0.0824857122121363
CUST1078,1,50,50.0,0.0,0.0,0.0,1.0,2024-01-24 11:53:00,157,35.0,F,1,1,1,1,KMeans,1,1,50,50.0,0.0,0.0,0.0,1.0,2024-01-24 11:53:00,157,35.0,F,0,0.08473036218197161
CUST1079,1,121,121.0,0.0,1.0,0.0,0.0,2024-04-30 11:29:00,60,31.0,F,2,0,2,0,KMeans,2,1,121,121.0,0.0,1.0,0.0,0.0,2024-04-30 11:29:00,60,31.0,F,0,0.16177554964210367
CUST1080,1,116,116.0,0.0,1.0,0.0,0.0,2024-03-28 20:32:00,92,26.0,F,2,0,2,0,KMeans,2,1,116,116.0,0.0,1.0,0.0,0.0,2024-03-28 20:32:00,92,26.0,F,0,0.16019709411047584
CUST1081,1,200,200.0,0.0,1.0,0.0,0.0,2024-04-24 16:30:00,66,45.0,M,3,0,2,0,KMeans,3,1,200,200.0,0.0,1.0,0.0,0.0,2024-04-24 16:30:00,66,45.0,M,0,0.08972080551955286
CUST1082,1,170,170.0,0.0,0.0,0.0,0.0,2024-02-29 20:26:00,120,36.0,F,2,3,3,0,KMeans,2,1,170,170.0,0.0,0.0,0.0,0.0,2024-02-29 20:26:00,120,36.0,F,0,0.12098905511469332
CUST1083,1,42,42.0,0.0,1.0,0.0,0.0,2024-02-02 16:37:00,148,33.0,M,2,0,2,0,KMeans,2,1,42,42.0,0.0,1.0,0.0,0.0,2024-02-02 16:37:00,148,33.0,M,0,0.1299396383499497
CUST1084,1,140,140.0,1.0,0.0,0.0,0.0,2024-04-14 18:09:00,75,18.0,M,2,-1,3,4,KMeans,2,1,140,140.0,1.0,0.0,0.0,0.0,2024-04-14 18:09:00,75,18.0,M,0,0.04945686548172845
CUST1085,1,270,270.0,1.0,0.0,0.0,0.0,2024-05-18 08:39:00,42,28.0,F,3,-1,3,4,KMeans,3,1,270,270.0,1.0,0.0,0.0,0.0,2024-05-18 08:39:00,42,28.0,F,0,0.03674844628060736
CUST1086,1,135,135.0,0.0,0.0,0.0,0.0,2024-06-26 12:57:00,3,32.0,M,2,3,3,0,KMeans,2,1,135,135.0,0.0,0.0,0.0,0.0,2024-06-26 12:57:00,3,32.0,M,0,0.10621158294041355
CUST1087,1,52,52.0,0.0,1.0,0.0,0.0,2024-05-24 18:50:00,35,34.0,F,2,0,2,0,KMeans,2,1,52,52.0,0.0,1.0,0.0,0.0,2024-05-24 18:50:00,35,34.0,F,0,0.13162686111465333
CUST1088,1,215,215.0,0.0,1.0,0.0,0.0,2024-05-07 17:09:00,53,37.0,M,3,0,2,0,KMeans,3,1,215,215.0,0.0,1.0,0.0,0.0,2024-05-07 17:09:00,53,37.0,M,0,0.1284561068613455
CUST1089,1,135,135.0,0.0,0.0,0.0,1.0,2024-01-19 15:22:00,162,39.0,M,1,1,1,1,KMeans,1,1,135,135.0,0.0,0.0,0.0,1.0,2024-01-19 15:22:00,162,39.0,M,0,0.09035405910159677
CUST1090,1,297,297.0,1.0,0.0,1.0,0.0,2024-01-28 11:24:00,153,45.0,F,4,-1,4,2,KMeans,4,1,297,297.0,1.0,0.0,1.0,0.0,2024-01-28 11:24:00,153,45.0,F,1,-0.019113331443256443
CUST1091,1,168,168.0,0.0,1.0,0.0,0.0,2024-03-14 20:51:00,106,37.0,F,2,0,2,0,KMeans,2,1,168,168.0,0.0,1.0,0.0,0.0,2024-03-14 20:51:00,106,37.0,F,0,0.1484390027594248
CUST1092,1,176,176.0,1.0,1.0,0.0,0.0,2024-06-09 18:02:00,19,38.0,M,3,4,2,4,KMeans,3,1,176,176.0,1.0,1.0,0.0,0.0,2024-06-09 18:02:00,19,38.0,M,0,0.0728454418284129
CUST1093,1,130,130.0,0.0,0.0,0.0,1.0,2024-02-14 11:08:00,136,28.0,F,1,1,1,1,KMeans,1,1,130,130.0,0.0,0.0,0.0,1.0,2024-02-14 11:08:00,136,28.0,F,0,0.11317778689635
CUST1094,1,91,91.0,1.0,1.0,0.0,0.0,2024-03-16 19:55:00,104,44.0,F,2,5,2,4,KMeans,2,1,91,91.0,1.0,1.0,0.0,0.0,2024-03-16 19:55:00,104,44.0,F,0,0.07670601191106197
CUST1095,1,211,211.0,1.0,0.0,0.0,1.0,2024-06-22 19:43:00,6,42.0,M,1,-1,1,1,KMeans,1,1,211,211.0,1.0,0.0,0.0,1.0,2024-06-22 19:43:00,6,42.0,M,1,-0.003692816196098514
CUST1096,1,130,130.0,0.0,0.0,1.0,0.0,2024-06-12 13:06:00,17,36.0,F,0,2,0,3,KMeans,0,1,130,130.0,0.0,0.0,1.0,0.0,2024-06-12 13:06:00,17,36.0,F,0,0.10006487249457818
CUST1097,1,52,52.0,0.0,1.0,0.0,0.0,2024-06-28 12:41:00,1,38.0,F,2,0,2,0,KMeans,2,1,52,52.0,0.0,1.0,0.0,0.0,2024-06-28 12:41:00,1,38.0,F,0,0.09657838876119196
CUST1098,1,178,178.0,0.0,1.0,0.0,0.0,2024-01-25 11:56:00,156,33.0,M,2,0,2,0,KMeans,2,1,178,178.0,0.0,1.0,0.0,0.0,2024-01-25 11:56:00,156,33.0,M,0,0.13977024155910084
CUST1099,1,160,160.0,0.0,0.0,0.0,1.0,2024-04-16 18:06:00,73,36.0,M,1,1,1,1,KMeans,1,1,160,160.0,0.0,0.0,0.0,1.0,2024-04-16 18:06:00,73,36.0,M,0,0.11036853472958091
CUST1100,1,220,220.0,0.0,1.0,0.0,0.0,2024-01-26 18:23:00,154,45.0,F,3,0,2,0,KMeans,3,1,220,220.0,0.0,1.0,0.0,0.0,2024-01-26 18:23:00,154,45.0,F,0,0.07161188150221431
CUST1101,1,100,100.0,0.0,0.0,0.0,1.0,2024-06-13 18:38:00,15,20.0,M,1,1,1,1,KMeans,1,1,100,100.0,0.0,0.0,0.0,1.0,2024-06-13 18:38:00,15,20.0,M,0,0.08198555607323377
CUST1102,1,94,94.0,0.0,1.0,0.0,0.0,2024-01-18 20:35:00,162,43.0,M,2,0,2,0,KMeans,2,1,94,94.0,0.0,1.0,0.0,0.0,2024-01-18 20:35:00,162,43.0,M,0,0.12671841033889425
CUST1103,1,32,32.0,0.0,1.0,0.0,0.0,2024-03-11 10:08:00,110,43.0,M,2,0,2,0,KMeans,2,1,32,32.0,0.0,1.0,0.0,0.0,2024-03-11 10:08:00,110,43.0,M,0,0.10028173849303418
CUST1104,1,79,79.0,0.0,1.0,0.0,0.0,2024-04-01 20:50:00,88,22.0,M,2,0,2,0,KMeans,2,1,79,79.0,0.0,1.0,0.0,0.0,2024-04-01 20:50:00,88,22.0,M,0,0.1462639133563945
CUST1105,1,190,190.0,0.0,0.0,0.0,1.0,2024-01-17 15:28:00,164,34.0,M,1,1,1,1,KMeans,1,1,190,190.0,0.0,0.0,0.0,1.0,2024-01-17 15:28:00,164,34.0,M,0,0.08291009118062098
CUST1106,1,131,131.0,0.0,1.0,0.0,0.0,2024-01-16 15:54:00,165,32.0,M,2,0,2,0,KMeans,2,1,131,131.0,0.0,1.0,0.0,0.0,2024-01-16 15:54:00,165,32.0,M,0,0.14505757092135613
CUST1107,1,68,68.0,1.0,1.0,0.0,0.0,2024-06-08 18:37:00,20,22.0,F,2,-1,2,4,KMeans,2,1,68,68.0,1.0,1.0,0.0,0.0,2024-06-08 18:37:00,20,22.0,F,0,0.06629618114328162
CUST1108,1,248,248.0,1.0,0.0,1.0,0.0,2024-06-16 18:56:00,12,21.0,M,4,-1,4,3,KMeans,4,1,248,248.0,1.0,0.0,1.0,0.0,2024-06-16 18:56:00,12,21.0,M,0,0.010818659431438893
CUST1109,1,75,75.0,0.0,0.0,1.0,0.0,2024-03-21 14:20:00,100,31.0,M,0,2,0,3,KMeans,0,1,75,75.0,0.0,0.0,1.0,0.0,2024-03-21 14:20:00,100,31.0,M,0,0.11783848328315899
CUST1110,1,300,300.0,0.0,0.0,1.0,0.0,2024-04-05 20:08:00,84,31.0,M,4,-1,0,2,KMeans,4,1,300,300.0,0.0,0.0,1.0,0.0,2024-04-05 20:08:00,84,31.0,M,0,0.04656578199515171
