antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Lassi'}),frozenset({'Veg Biryani'}),0.2,0.12,0.06,0.3,2.5,1.0,0.036,1.2571428571428573,0.7499999999999999,0.23076923076923075,0.20454545454545453,0.4
frozenset({'Lassi'}),frozenset({'Vada Pav'}),0.2,0.04,0.02,0.09999999999999999,2.4999999999999996,1.0,0.012,1.0666666666666667,0.75,0.0909090909090909,0.06249999999999999,0.3
frozenset({'Tea'}),frozenset({'Samosa'}),0.4,0.04,0.04,0.09999999999999999,2.4999999999999996,1.0,0.024,1.0666666666666667,1.0,0.09999999999999999,0.06249999999999999,0.55
frozenset({'Tea'}),frozenset({'Bread Pakora'}),0.4,0.02,0.02,0.049999999999999996,2.4999999999999996,1.0,0.012,1.0315789473684212,1.0,0.049999999999999996,0.03061224489795918,0.525
frozenset({'Chicken Curry+Rice'}),frozenset({'Lemonade'}),0.08,0.12,0.02,0.25,2.0833333333333335,1.0,0.010400000000000001,1.1733333333333333,0.5652173913043479,0.1111111111111111,0.14772727272727273,0.20833333333333334
frozenset({'Chole Bhature'}),frozenset({'Lemonade'}),0.08,0.12,0.02,0.25,2.0833333333333335,1.0,0.010400000000000001,1.1733333333333333,0.5652173913043479,0.1111111111111111,0.14772727272727273,0.20833333333333334
frozenset({'Lemonade'}),frozenset({'Chicken Curry+Rice'}),0.12,0.08,0.02,0.16666666666666669,2.0833333333333335,1.0,0.010400000000000001,1.104,0.5909090909090909,0.1111111111111111,0.09420289855072465,0.20833333333333334
frozenset({'Lemonade'}),frozenset({'Chole Bhature'}),0.12,0.08,0.02,0.16666666666666669,2.0833333333333335,1.0,0.010400000000000001,1.104,0.5909090909090909,0.1111111111111111,0.09420289855072465,0.20833333333333334
frozenset({'Dal Rice'}),frozenset({'Sandwich'}),0.1,0.1,0.02,0.19999999999999998,1.9999999999999998,1.0,0.009999999999999998,1.125,0.5555555555555554,0.1111111111111111,0.11111111111111108,0.19999999999999998
frozenset({'Sandwich'}),frozenset({'Dal Rice'}),0.1,0.1,0.02,0.19999999999999998,1.9999999999999998,1.0,0.009999999999999998,1.125,0.5555555555555554,0.1111111111111111,0.11111111111111108,0.19999999999999998
frozenset({'Maggi'}),frozenset({'Tea'}),0.06,0.4,0.04,0.6666666666666667,1.6666666666666667,1.0,0.016,1.8000000000000003,0.425531914893617,0.09523809523809523,0.44444444444444453,0.38333333333333336
frozenset({'Chicken Biryani'}),frozenset({'Lassi'}),0.12,0.2,0.04,0.33333333333333337,1.6666666666666667,1.0,0.016,1.2000000000000002,0.45454545454545453,0.14285714285714285,0.16666666666666669,0.26666666666666666
frozenset({'Lemonade'}),frozenset({'Dal Rice'}),0.12,0.1,0.02,0.16666666666666669,1.6666666666666667,1.0,0.008,1.08,0.45454545454545453,0.09999999999999999,0.07407407407407408,0.18333333333333335
frozenset({'Lemonade'}),frozenset({'Rajma Chawal'}),0.12,0.1,0.02,0.16666666666666669,1.6666666666666667,1.0,0.008,1.08,0.45454545454545453,0.09999999999999999,0.07407407407407408,0.18333333333333335
frozenset({'Lemonade'}),frozenset({'Sandwich'}),0.12,0.1,0.02,0.16666666666666669,1.6666666666666667,1.0,0.008,1.08,0.45454545454545453,0.09999999999999999,0.07407407407407408,0.18333333333333335
frozenset({'Lassi'}),frozenset({'Chicken Biryani'}),0.2,0.12,0.04,0.19999999999999998,1.6666666666666665,1.0,0.016,1.0999999999999999,0.5,0.14285714285714285,0.0909090909090909,0.26666666666666666
frozenset({'Dal Rice'}),frozenset({'Lemonade'}),0.1,0.12,0.02,0.19999999999999998,1.6666666666666665,1.0,0.008,1.0999999999999999,0.4444444444444444,0.09999999999999999,0.0909090909090909,0.18333333333333335
frozenset({'Rajma Chawal'}),frozenset({'Lemonade'}),0.1,0.12,0.02,0.19999999999999998,1.6666666666666665,1.0,0.008,1.0999999999999999,0.4444444444444444,0.09999999999999999,0.0909090909090909,0.18333333333333335
frozenset({'Sandwich'}),frozenset({'Lemonade'}),0.1,0.12,0.02,0.19999999999999998,1.6666666666666665,1.0,0.008,1.0999999999999999,0.4444444444444444,0.09999999999999999,0.0909090909090909,0.18333333333333335
frozenset({'Tea'}),frozenset({'Maggi'}),0.4,0.06,0.04,0.09999999999999999,1.6666666666666665,1.0,0.016,1.0444444444444443,0.6666666666666666,0.09523809523809523,0.0425531914893617,0.38333333333333336
frozenset({'Dal Rice'}),frozenset({'Tea'}),0.1,0.4,0.06,0.6,1.4999999999999998,1.0,0.01999999999999999,1.4999999999999998,0.3703703703703702,0.13636363636363635,0.33333333333333326,0.375
frozenset({'Rajma Chawal'}),frozenset({'Tea'}),0.1,0.4,0.06,0.6,1.4999999999999998,1.0,0.01999999999999999,1.4999999999999998,0.3703703703703702,0.13636363636363635,0.33333333333333326,0.375
frozenset({'Tea'}),frozenset({'Dal Rice'}),0.4,0.1,0.06,0.15,1.4999999999999998,1.0,0.01999999999999999,1.0588235294117647,0.5555555555555554,0.13636363636363635,0.05555555555555554,0.375
frozenset({'Tea'}),frozenset({'Rajma Chawal'}),0.4,0.1,0.06,0.15,1.4999999999999998,1.0,0.01999999999999999,1.0588235294117647,0.5555555555555554,0.13636363636363635,0.05555555555555554,0.375
frozenset({'Lemonade'}),frozenset({'Veg Biryani'}),0.12,0.12,0.02,0.16666666666666669,1.388888888888889,1.0,0.005600000000000001,1.056,0.31818181818181823,0.09090909090909091,0.05303030303030306,0.16666666666666669
frozenset({'Veg Biryani'}),frozenset({'Lemonade'}),0.12,0.12,0.02,0.16666666666666669,1.388888888888889,1.0,0.005600000000000001,1.056,0.31818181818181823,0.09090909090909091,0.05303030303030306,0.16666666666666669
frozenset({'Chicken Curry+Rice'}),frozenset({'Lassi'}),0.08,0.2,0.02,0.25,1.25,1.0,0.004,1.0666666666666667,0.2173913043478261,0.07692307692307693,0.062499999999999986,0.175
frozenset({'Lassi'}),frozenset({'Chicken Curry+Rice'}),0.2,0.08,0.02,0.09999999999999999,1.2499999999999998,1.0,0.004,1.0222222222222221,0.25,0.07692307692307693,0.021739130434782598,0.175
