transaction_id,customer_id,customer_age,customer_gender,date,day_of_week,time_slot,total_amount,payment_method,items_json
TXN-06-0000011,CUST1011,19,M,2024-01-04 21:33:00,Thu,Dinner,99,UPI,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000012,CUST1012,40,M,2024-06-27 12:16:00,Thu,Lunch,116,UPI,"[{""itemName"":""Dal Rice"",""quantity"":2,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000013,CUST1013,29,F,2024-02-16 12:19:00,Fri,Lunch,261,UPI,"[{""itemName"":""Chicken Biryani"",""quantity"":2,""price"":130,""category"":""Main Course"",""isVegetarian"":false}]"
TXN-06-0000014,CUST1014,38,M,2024-01-13 14:12:00,Sat,Lunch,106,Wallet,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000015,CUST1015,22,F,2024-04-04 15:51:00,Thu,Lunch,181,Wallet,"[{""itemName"":""Chole Bhature"",""quantity"":2,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000016,CUST1016,35,M,2024-04-19 07:15:00,Fri,Breakfast,88,Card,"[{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Lassi"",""quantity"":1,""price"":30,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000017,CUST1017,23,M,2024-01-23 20:24:00,Tue,Dinner,150,UPI,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000018,CUST1018,21,M,2024-06-17 08:07:00,Mon,Breakfast,19,UPI,"[{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000019,CUST1019,21,F,2024-04-23 18:04:00,Tue,Snacks,158,UPI,"[{""itemName"":""Fruit Bowl"",""quantity"":1,""price"":40,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Maggi"",""quantity"":2,""price"":40,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000020,CUST1020,23,F,2024-04-10 19:29:00,Wed,Dinner,196,UPI,"[{""itemName"":""Cold Coffee"",""quantity"":2,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000021,CUST1021,32,F,2024-05-02 15:05:00,Thu,Lunch,296,Cash,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":2,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000022,CUST1022,43,F,2024-03-16 15:16:00,Sat,Lunch,241,UPI,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000023,CUST1023,41,F,2024-06-23 12:21:00,Sun,Lunch,360,Card,"[{""itemName"":""Veg Biryani"",""quantity"":2,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000024,CUST1024,40,F,2024-04-17 07:41:00,Wed,Breakfast,224,UPI,"[{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Maggi"",""quantity"":2,""price"":40,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000025,CUST1025,34,F,2024-06-06 20:53:00,Thu,Dinner,166,UPI,"[{""itemName"":""Chole Bhature"",""quantity"":2,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000026,CUST1026,34,M,2024-05-27 21:19:00,Mon,Dinner,83,Card,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000027,CUST1027,38,M,2024-04-28 21:03:00,Sun,Dinner,301,Wallet,"[{""itemName"":""Lassi"",""quantity"":1,""price"":30,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":2,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000028,CUST1028,30,F,2024-03-05 15:47:00,Tue,Lunch,56,Card,"[{""itemName"":""Ice Cream"",""quantity"":1,""price"":45,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000029,CUST1029,42,F,2024-03-10 15:56:00,Sun,Lunch,211,UPI,"[{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000030,CUST1030,37,M,2024-05-02 13:26:00,Thu,Lunch,60,UPI,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000031,CUST1031,19,F,2024-05-09 14:20:00,Thu,Lunch,158,UPI,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false}]"
TXN-06-0000032,CUST1032,37,F,2024-06-06 15:26:00,Thu,Lunch,217,Cash,"[{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000033,CUST1033,20,F,2024-03-21 10:32:00,Thu,Breakfast,229,Wallet,"[{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":2,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000034,CUST1034,37,M,2024-01-10 17:44:00,Wed,Snacks,48,Cash,"[{""itemName"":""Sandwich"",""quantity"":1,""price"":50,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000035,CUST1035,26,F,2024-01-05 18:57:00,Fri,Snacks,119,UPI,"[{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":2,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000036,CUST1036,34,F,2024-04-06 16:09:00,Sat,Snacks,178,UPI,"[{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000037,CUST1037,43,F,2024-03-14 21:47:00,Thu,Dinner,63,UPI,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000038,CUST1038,21,F,2024-02-17 13:15:00,Sat,Lunch,218,UPI,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000039,CUST1039,20,M,2024-01-08 20:36:00,Mon,Dinner,178,Wallet,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000040,CUST1040,42,F,2024-05-20 17:23:00,Mon,Snacks,75,UPI,"[{""itemName"":""Tea"",""quantity"":2,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":2,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000041,CUST1041,20,F,2024-04-13 08:49:00,Sat,Breakfast,76,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000042,CUST1042,45,M,2024-03-19 15:32:00,Tue,Lunch,102,UPI,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000043,CUST1043,45,M,2024-01-01 17:08:00,Mon,Snacks,117,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Sandwich"",""quantity"":1,""price"":50,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000044,CUST1044,31,M,2024-02-16 09:03:00,Fri,Breakfast,111,Card,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000045,CUST1045,40,F,2024-02-01 17:16:00,Thu,Snacks,35,Cash,"[{""itemName"":""Tea"",""quantity"":2,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000046,CUST1046,34,M,2024-05-09 16:42:00,Thu,Snacks,60,UPI,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":2,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000047,CUST1047,45,F,2024-03-01 17:51:00,Fri,Snacks,110,UPI,"[{""itemName"":""Sandwich"",""quantity"":2,""price"":50,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000048,CUST1048,35,M,2024-06-11 15:13:00,Tue,Lunch,122,UPI,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":2,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000049,CUST1049,40,M,2024-03-17 21:12:00,Sun,Dinner,70,UPI,"[{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000050,CUST1050,37,F,2024-03-15 08:40:00,Fri,Breakfast,62,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000051,CUST1051,39,F,2024-04-01 15:10:00,Mon,Lunch,86,UPI,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000052,CUST1052,30,F,2024-04-03 20:34:00,Wed,Dinner,56,UPI,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000053,CUST1053,29,F,2024-06-24 15:40:00,Mon,Lunch,237,Card,"[{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000054,CUST1054,27,F,2024-01-29 12:45:00,Mon,Lunch,52,Cash,"[{""itemName"":""Fruit Bowl"",""quantity"":1,""price"":40,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000055,CUST1055,45,M,2024-05-28 14:34:00,Tue,Lunch,144,UPI,"[{""itemName"":""Ice Cream"",""quantity"":2,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000056,CUST1056,42,M,2024-04-22 17:52:00,Mon,Snacks,156,Cash,"[{""itemName"":""Samosa"",""quantity"":2,""price"":15,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Sandwich"",""quantity"":2,""price"":50,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000057,CUST1057,43,M,2024-05-11 21:24:00,Sat,Dinner,305,Card,"[{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000058,CUST1058,18,M,2024-03-19 07:23:00,Tue,Breakfast,36,UPI,"[{""itemName"":""Lassi"",""quantity"":1,""price"":30,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000059,CUST1059,31,F,2024-03-13 15:03:00,Wed,Lunch,260,UPI,"[{""itemName"":""Dal Rice"",""quantity"":2,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":2,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000060,CUST1060,28,M,2024-03-03 21:38:00,Sun,Dinner,260,Wallet,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000061,CUST1061,23,M,2024-02-15 17:29:00,Thu,Snacks,58,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Samosa"",""quantity"":1,""price"":15,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Samosa"",""quantity"":2,""price"":15,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000062,CUST1062,43,F,2024-06-11 20:43:00,Tue,Dinner,198,UPI,"[{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000063,CUST1063,31,M,2024-02-28 21:47:00,Wed,Dinner,148,UPI,"[{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000064,CUST1064,33,F,2024-05-20 19:46:00,Mon,Dinner,125,Cash,"[{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000065,CUST1065,45,F,2024-02-23 17:01:00,Fri,Snacks,100,Cash,"[{""itemName"":""Ice Cream"",""quantity"":1,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000066,CUST1066,35,M,2024-04-23 19:16:00,Tue,Dinner,90,Card,"[{""itemName"":""Cold Coffee"",""quantity"":1,""price"":50,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Lassi"",""quantity"":1,""price"":30,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000067,CUST1067,46,M,2024-01-23 08:53:00,Tue,Breakfast,254,Card,"[{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Sandwich"",""quantity"":1,""price"":50,""category"":""Snacks"",""isVegetarian"":true}]"
TXN-06-0000068,CUST1068,26,F,2024-04-30 14:25:00,Tue,Lunch,33,Wallet,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000069,CUST1069,46,F,2024-05-14 15:44:00,Tue,Lunch,123,Wallet,"[{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":1,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000070,CUST1070,44,M,2024-04-06 19:56:00,Sat,Dinner,49,UPI,"[{""itemName"":""Fruit Bowl"",""quantity"":1,""price"":40,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000071,CUST1071,19,M,2024-04-21 12:01:00,Sun,Lunch,325,UPI,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Ice Cream"",""quantity"":2,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false}]"
TXN-06-0000072,CUST1072,43,M,2024-02-25 09:20:00,Sun,Breakfast,265,Cash,"[{""itemName"":""Veg Biryani"",""quantity"":2,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000073,CUST1073,26,F,2024-03-26 12:51:00,Tue,Lunch,109,Cash,"[{""itemName"":""Fruit Bowl"",""quantity"":1,""price"":40,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000074,CUST1074,20,M,2024-06-06 15:44:00,Thu,Lunch,219,UPI,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000075,CUST1075,19,M,2024-04-26 21:13:00,Fri,Dinner,308,Wallet,"[{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":2,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000076,CUST1076,46,F,2024-06-11 16:43:00,Tue,Snacks,20,UPI,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000077,CUST1077,34,M,2024-04-10 21:53:00,Wed,Dinner,170,Card,"[{""itemName"":""Rajma Chawal"",""quantity"":1,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000078,CUST1078,43,M,2024-04-24 15:21:00,Wed,Lunch,318,UPI,"[{""itemName"":""Rajma Chawal"",""quantity"":2,""price"":70,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Fruit Bowl"",""quantity"":1,""price"":40,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false}]"
TXN-06-0000079,CUST1079,44,M,2024-01-26 20:50:00,Fri,Dinner,244,Cash,"[{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Brownie"",""quantity"":2,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000080,CUST1080,39,F,2024-03-20 13:33:00,Wed,Lunch,212,Wallet,"[{""itemName"":""Ice Cream"",""quantity"":1,""price"":45,""category"":""Desserts"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Chole Bhature"",""quantity"":1,""price"":85,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000081,CUST1081,19,M,2024-02-11 19:28:00,Sun,Dinner,203,Wallet,"[{""itemName"":""Paneer Curry+Roti"",""quantity"":1,""price"":90,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000082,CUST1082,18,M,2024-05-10 20:56:00,Fri,Dinner,21,Wallet,"[{""itemName"":""Coffee"",""quantity"":1,""price"":25,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000083,CUST1083,18,F,2024-03-04 12:15:00,Mon,Lunch,27,Card,"[{""itemName"":""Lassi"",""quantity"":1,""price"":30,""category"":""Beverages"",""isVegetarian"":true}]"
TXN-06-0000084,CUST1084,29,M,2024-03-24 19:59:00,Sun,Dinner,570,Card,"[{""itemName"":""Chicken Biryani"",""quantity"":1,""price"":130,""category"":""Main Course"",""isVegetarian"":false},{""itemName"":""Dal Rice"",""quantity"":2,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Paneer Curry+Roti"",""quantity"":2,""price"":90,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000085,CUST1085,32,M,2024-02-22 13:13:00,Thu,Lunch,117,Card,"[{""itemName"":""Dal Rice"",""quantity"":2,""price"":60,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000086,CUST1086,38,M,2024-02-09 12:50:00,Fri,Lunch,137,UPI,"[{""itemName"":""Tea"",""quantity"":1,""price"":15,""category"":""Beverages"",""isVegetarian"":true},{""itemName"":""Dal Rice"",""quantity"":1,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":2,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000087,CUST1087,44,F,2024-01-08 18:50:00,Mon,Snacks,178,UPI,"[{""itemName"":""Maggi"",""quantity"":1,""price"":40,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Sandwich"",""quantity"":1,""price"":50,""category"":""Snacks"",""isVegetarian"":true},{""itemName"":""Brownie"",""quantity"":2,""price"":55,""category"":""Desserts"",""isVegetarian"":true}]"
TXN-06-0000088,CUST1088,42,F,2024-06-14 12:28:00,Fri,Lunch,201,UPI,"[{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true}]"
TXN-06-0000089,CUST1089,23,F,2024-01-28 13:44:00,Sun,Lunch,632,UPI,"[{""itemName"":""Dal Rice"",""quantity"":2,""price"":60,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Veg Biryani"",""quantity"":1,""price"":100,""category"":""Main Course"",""isVegetarian"":true},{""itemName"":""Chicken Biryani"",""quantity"":2,""price"":130,""category"":""Main Course"",""isVegetarian"":false}]"
